"E.B.M_three.obs.logOR.ratio" "E.B.M_obs.wt" "E.B.M_obs.mut" "E.B.M_total.reads.per.junction" "E.B.M_three.wt.cluster.cov" "E.B.M_three.mut.cluster.cov" "intron_junction" "Tcells_three.obs.logOR.ratio" "Tcells_obs.wt" "Tcells_obs.mut" "Tcells_total.reads.per.junction" "Tcells_three.wt.cluster.cov" "Tcells_three.mut.cluster.cov" "PreB_three.obs.logOR.ratio" "PreB_obs.wt" "PreB_obs.mut" "PreB_total.reads.per.junction" "PreB_three.wt.cluster.cov" "PreB_three.mut.cluster.cov" "DC_three.obs.logOR.ratio" "DC_obs.wt" "DC_obs.mut" "DC_total.reads.per.junction" "DC_three.wt.cluster.cov" "DC_three.mut.cluster.cov" "HSPC_three.obs.logOR.ratio" "HSPC_obs.wt" "HSPC_obs.mut" "HSPC_total.reads.per.junction" "HSPC_three.wt.cluster.cov" "HSPC_three.mut.cluster.cov" "IMP_three.obs.logOR.ratio" "IMP_obs.wt" "IMP_obs.mut" "IMP_total.reads.per.junction" "IMP_three.wt.cluster.cov" "IMP_three.mut.cluster.cov" "Bcells_three.obs.logOR.ratio" "Bcells_obs.wt" "Bcells_obs.mut" "Bcells_total.reads.per.junction" "Bcells_three.wt.cluster.cov" "Bcells_three.mut.cluster.cov" "NP_three.obs.logOR.ratio" "NP_obs.wt" "NP_obs.mut" "NP_total.reads.per.junction" "NP_three.wt.cluster.cov" "NP_three.mut.cluster.cov" "Mat_Mono_three.obs.logOR.ratio" "Mat_Mono_obs.wt" "Mat_Mono_obs.mut" "Mat_Mono_total.reads.per.junction" "Mat_Mono_three.wt.cluster.cov" "Mat_Mono_three.mut.cluster.cov" "MonoDC_three.obs.logOR.ratio" "MonoDC_obs.wt" "MonoDC_obs.mut" "MonoDC_total.reads.per.junction" "MonoDC_three.wt.cluster.cov" "MonoDC_three.mut.cluster.cov" "MkP_three.obs.logOR.ratio" "MkP_obs.wt" "MkP_obs.mut" "MkP_total.reads.per.junction" "MkP_three.wt.cluster.cov" "MkP_three.mut.cluster.cov" "MEP_three.obs.logOR.ratio" "MEP_obs.wt" "MEP_obs.mut" "MEP_total.reads.per.junction" "MEP_three.wt.cluster.cov" "MEP_three.mut.cluster.cov" "EP_three.obs.logOR.ratio" "EP_obs.wt" "EP_obs.mut" "EP_total.reads.per.junction" "EP_three.wt.cluster.cov" "EP_three.mut.cluster.cov" "None_three.obs.logOR.ratio" "None_obs.wt" "None_obs.mut" "None_total.reads.per.junction" "None_three.wt.cluster.cov" "None_three.mut.cluster.cov" "chr.x" "start.x" "end.x" "strand.x" "five_prime.x" "three_prime.x" "five_prime_ID" "three_prime_ID" "obs.wt" "obs.mut" "total.reads.per.junction" "None_pvalue" "EP_pvalue" "MEP_pvalue" "MkP_pvalue" "MonoDC_pvalue" "Mat_Mono_pvalue" "NP_pvalue" "Bcells_pvalue" "IMP_pvalue" "HSPC_pvalue" "DC_pvalue" "PreB_pvalue" "Tcells_pvalue" "E.B.M_pvalue" "chr.y" "start.y" "end.y" "strand_1" "five_prime.y" "three_prime.y" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "strand.y" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "None_wt.psi" "None_mut.psi" "None_dPSI" "EP_wt.psi" "EP_mut.psi" "EP_dPSI" "MEP_wt.psi" "MEP_mut.psi" "MEP_dPSI" "MkP_wt.psi" "MkP_mut.psi" "MkP_dPSI" "MonoDC_wt.psi" "MonoDC_mut.psi" "MonoDC_dPSI" "Mat_Mono_wt.psi" "Mat_Mono_mut.psi" "Mat_Mono_dPSI" "NP_wt.psi" "NP_mut.psi" "NP_dPSI" "Bcells_wt.psi" "Bcells_mut.psi" "Bcells_dPSI" "IMP_wt.psi" "IMP_mut.psi" "IMP_dPSI" "HSPC_wt.psi" "HSPC_mut.psi" "HSPC_dPSI" "DC_wt.psi" "DC_mut.psi" "DC_dPSI" "PreB_wt.psi" "PreB_mut.psi" "PreB_dPSI" "Tcells_wt.psi" "Tcells_mut.psi" "Tcells_dPSI" "Final_Verdict"
"1" NA 0 0 0 0 0 "chr21:33914510:33915727:-" NA 0 0 0 0 1 NA 0 0 0 0 0 NA 0 0 0 2 4 NA 0 0 0 3 6 NA 0 0 0 3 11 NA 0 0 0 0 0 NA 0 0 0 1 2 NA 1 0 1 2 26 NA 0 0 0 1 7 NA 1 0 1 7 40 Inf 0 0 0 13 99 Inf 1 3 4 24 326 NA 0 1 1 4 49 "chr21" 33914510 33915727 "-" 33915727 33914510 "clu_1105" "clu_1140" 0 6 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33914510 33915727 "-" 33915727 33914510 "clu_1105" "clu_1140" 33914500 33915727 10 0 0 -10 "-" "cryptic_threeprime" "AP000311.1" "ENSG00000159055.4" "." 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 10 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "main" "not_main_3_prime" 0 -10 0 2.04081632653061 2.04081632653061 4.16666666666667 0.920245398773006 -3.24642126789366 0 0 0 14.2857142857143 0 -14.2857142857143 0 0 0 50 0 -50 0 0 0 NA NA NA 0 0 0 0 0 0 0 0 0 NA NA NA NA 0 NA "Cryptic_threeprime"
"2" NA 0 0 0 0 0 "chr21:33914508:33915727:-" NA 0 0 0 0 1 NA 0 0 0 0 0 NA 2 2 4 2 4 NA 0 1 1 3 6 NA 0 3 3 3 11 NA 0 0 0 0 0 NA 1 2 3 1 2 NA 0 9 9 2 26 NA 0 1 1 2 7 NA 2 9 11 8 40 NA 0 20 20 14 100 Inf 4 69 73 24 329 NA 1 12 13 4 48 "chr21" 33914508 33915727 "-" 33915727 33914508 "clu_1105" "clu_1139" 0 5 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33914508 33915727 "-" 33915727 33914508 "clu_1105" "clu_1139" 33914500 33915727 8 0 0 -8 "-" "cryptic_threeprime" "AP000311.1" "ENSG00000142188.17" "." 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 8 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 2 2 "main" "not_main_3_prime" 0 -8 25 25 0 16.6666666666667 20.9726443768997 4.30597771023303 0 20 20 25 22.5 -2.5 0 14.2857142857143 14.2857142857143 0 34.6153846153846 34.6153846153846 100 100 0 NA NA NA 0 27.2727272727273 27.2727272727273 0 16.6666666666667 16.6666666666667 100 50 -50 NA NA NA NA 0 NA "Cryptic_threeprime"
"3" NA 0 0 0 0 0 "chr21:33903656:33903934:-" NA 0 0 0 0 0 NA 0 0 0 0 0 -Inf 0 0 0 0 0 -1.30625165344635 0 0 0 0 0 Inf 0 0 0 0 0 NA 0 0 0 0 0 Inf 0 0 0 0 0 Inf 0 0 0 0 0 NA 0 0 0 0 0 Inf 0 1 1 0 1 0.733969175080201 0 0 0 0 1 0.452854441210922 1 4 5 1 9 Inf 0 0 0 0 1 "chr21" 33903656 33903934 "-" 33903934 33903656 "clu_1085" "clu_1120" 7 117 124 NA 0.412505874941251 0.329906700932991 NA NA 0.000309996900030973 NA NA NA NA NA NA NA NA "chr21" 33903656 33903934 "-" 33903934 33903656 "clu_1085" "clu_1120" 33903639 33903934 17 0 0 -17 "-" "cryptic_threeprime" "ATP5PO" "ENSG00000159267.14" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 17 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "main" "not_main_3_prime" 0 -17 NA 0 NA 100 44.4444444444444 -55.5555555555556 NA 0 NA NA 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Cryptic_threeprime"
"4" NA 0 0 0 0 0 "chr21:33599285:33602233:-" NA 0 1 1 0 1 NA 0 0 0 0 0 NA 0 1 1 0 1 -Inf 3 5 8 3 5 NA 2 7 9 2 8 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 2 16 18 2 18 NA 2 6 8 2 6 Inf 6 29 35 6 31 NA 13 70 83 14 79 Inf 16 231 247 19 261 Inf 2 30 32 2 36 "chr21" 33599285 33602233 "-" 33602233 33599285 "clu_1046" "clu_1070" 1 12 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33599285 33602233 "-" 33602233 33599285 "clu_1046" "clu_1070" 33599248 33602233 37 0 0 -37 "-" "cryptic_threeprime" "CRYZL1" "." "." 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 8 8 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 37 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 8 8 "main" "not_main_3_prime" 0 -37 100 83.3333333333333 -16.6666666666667 84.2105263157895 88.5057471264368 4.29522081064732 92.8571428571429 88.6075949367088 -4.24954792043401 100 93.5483870967742 -6.45161290322581 100 100 0 100 88.8888888888889 -11.1111111111111 NA 0 NA NA NA NA 100 87.5 -12.5 100 100 0 NA 100 NA NA NA NA NA 100 NA "Cryptic_threeprime"
"5" NA 0 0 0 0 0 "chr21:33520645:33520905:-" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 2 1 3 3 3 NA 0 1 1 0 3 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 1 2 3 2 28 -Inf 0 0 0 0 0 -1.19139402211908 0 1 1 0 1 NA 0 0 0 0 1 "chr21" 33520645 33520905 "-" 33520905 33520645 "clu_929" "clu_967" 2 4 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33520645 33520905 "-" 33520905 33520645 "clu_929" "clu_967" 33520562 33520905 83 0 0 -83 "-" "cryptic_threeprime" "GART" "ENSG00000160183.16" "." 0 3 "basic|appris_principal_1|CCDS, alternative_5_UTR|basic|appris_principal_1|CCDS, alternative_5_UTR|basic|MANE_Select|appris_principal_1|CCDS" 34 34 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 83 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 13 13 "main" "not_main_3_prime" 0 -83 NA 0 NA NA 100 NA NA NA NA 50 7.14285714285714 -42.8571428571429 NA NA NA NA NA NA NA NA NA NA NA NA NA 33.3333333333333 NA 66.6666666666667 33.3333333333333 -33.3333333333333 NA NA NA NA NA NA NA NA NA "Cryptic_threeprime"
"6" NA 0 0 0 0 0 "chr21:36058973:36060346:-" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 1 NA 0 0 0 0 4 NA 0 0 0 0 0 NA 0 0 0 0 3 NA 0 0 0 2 4 NA 0 0 0 0 4 Inf 0 0 0 1 18 -0.693147180559945 0 1 1 4 26 0.332705753825736 1 12 13 16 164 NA 0 4 4 0 30 "chr21" 36058973 36060346 "-" 36060346 36058973 "clu_1205" "clu_1242" 6 72 78 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 36058973 36060346 "-" 36060346 36058973 "clu_1205" "clu_1242" 36058973 36060346 0 0 0 0 "-" "annotated" "SETD4" "ENSG00000186866.16" "ENST00000399212.5" 0.5 1 "basic|appris_principal_3|CCDS" 1 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "not_main_3_prime" "main" 49 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 1 1 "main" "not_main_3_prime" 0 -49 NA 13.3333333333333 NA 6.25 7.31707317073171 1.06707317073171 0 3.84615384615385 3.84615384615385 0 0 0 NA 0 NA 0 0 0 NA 0 NA NA NA NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA NA NA "Cryptic_threeprime"
"7" NA 0 0 0 0 0 "chr21:36043969:36045581:-" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 -Inf 1 0 1 1 0 NA 0 0 0 0 1 Inf 0 0 0 0 0 -2.19722457733622 0 0 0 0 2 -0.329573014160941 1 4 5 1 6 NA 0 2 2 0 2 "chr21" 36043969 36045581 "-" 36045581 36043969 "clu_1195" "clu_1227" 7 50 57 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 36043969 36045581 "-" 36045581 36043969 "clu_1195" "clu_1227" 36043956 36045581 13 0 0 -13 "-" "cryptic_threeprime" "SETD4" "ENSG00000275464.4" "." 0 1 "basic|appris_principal_3|CCDS" 6 6 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "not_main_3_prime" "main" 13 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 6 6 "main" "not_main_3_prime" 0 -13 NA 100 NA 100 66.6666666666667 -33.3333333333333 NA 0 NA NA NA NA NA 0 NA 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Cryptic_threeprime"
"8" NA 0 0 0 0 0 "chr21:37198025:37200213:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 4 NA 0 0 0 1 2 NA 0 0 0 0 4 NA 0 0 0 0 0 NA 0 0 0 0 2 NA 0 0 0 2 6 NA 0 0 0 0 2 NA 0 0 0 3 16 Inf 0 3 3 6 23 Inf 0 2 2 3 59 NA 0 0 0 1 7 "chr21" 37198025 37200213 "+" 37198025 37200213 "clu_1403" "clu_1430" 0 6 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 37198025 37200213 "+" 37198025 37200213 "clu_1403" "clu_1430" 37198025 37200231 0 -18 0 -18 "+" "cryptic_threeprime" "TTC3" "ENSG00000243646.10" "." 0 1 "basic|appris_principal_1|CCDS" 43 43 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -18 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 44 44 "main" "not_main_3_prime" 0 -18 0 0 0 0 3.38983050847458 3.38983050847458 0 13.0434782608696 13.0434782608696 0 0 0 NA 0 NA 0 0 0 NA 0 NA NA NA NA NA 0 NA 0 0 0 NA 0 NA NA NA NA NA NA NA "Cryptic_threeprime"
"9" NA 0 0 0 2 2 "chr21:39181901:39183251:-" NA 0 0 0 0 1 NA 0 0 0 0 0 NA 0 1 1 1 18 Inf 0 3 3 1 19 Inf 0 6 6 17 84 NA 0 0 0 0 0 Inf 0 4 4 10 25 Inf 0 5 5 9 60 -1.47590651980958 0 5 5 9 37 Inf 1 12 13 22 228 0.400477566597125 5 33 38 85 707 0.158573304791569 21 228 249 209 3190 Inf 1 42 43 5 515 "chr21" 39181901 39183251 "-" 39183251 39181901 "clu_1542" "clu_1593" 10 181 191 NA 0.718682813171868 0.480045199548005 0.0995090049099508 NA 9.99990000094542e-06 NA NA NA NA NA NA NA NA "chr21" 39181901 39183251 "-" 39183251 39181901 "clu_1542" "clu_1593" 39181878 39183251 23 0 0 -23 "-" "cryptic_threeprime" "PSMG1" "ENSG00000166265.12" "." 0 1 "basic|appris_principal_1|CCDS" 1 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_3_prime" "main" 23 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -23 20 8.15533980582524 -11.8446601941748 10.0478468899522 7.14733542319749 -2.90051146675466 5.88235294117647 4.66760961810467 -1.2147433230718 4.54545454545455 5.26315789473684 0.717703349282296 0 13.5135135135135 13.5135135135135 0 8.33333333333333 8.33333333333333 0 16 16 NA NA NA 0 7.14285714285714 7.14285714285714 0 15.7894736842105 15.7894736842105 0 5.55555555555556 5.55555555555556 NA NA NA NA 0 NA "Cryptic_threeprime"
"10" NA 0 0 0 0 0 "chr21:41430608:41432030:+" NA 0 0 0 0 0 NA 0 0 0 0 0 Inf 0 0 0 1 0 NA 0 1 1 0 2 NA 0 0 0 0 1 NA 0 0 0 0 0 NA 0 1 1 0 1 1.17272026082183 0 2 2 5 9 Inf 0 0 0 0 1 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 2 NA 0 0 0 0 0 "chr21" 41430608 41432030 "+" 41430608 41432030 "clu_1737" "clu_1770" 1 11 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 41430608 41432030 "+" 41430608 41432030 "clu_1737" "clu_1770" 41430608 41432049 0 -19 0 -19 "+" "cryptic_threeprime" "MX1" "ENSG00000160185.15" "." 0 2 "basic|appris_principal_1|CCDS, alternative_5_UTR|basic|MANE_Select|appris_principal_1|CCDS" 22 22 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -19 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 6 6 "main" "not_main_3_prime" 0 -19 NA NA NA NA 50 NA NA NA NA NA NA NA NA 0 NA 0 22.2222222222222 22.2222222222222 NA 100 NA NA NA NA NA 0 NA NA 50 NA 0 NA NA NA NA NA NA NA NA "Cryptic_threeprime"
