"chr" "start" "end" "strand" "five_prime" "three_prime" "five_prime_ID" "three_prime_ID" "intron_junction" "obs.wt" "obs.mut" "total.reads.per.junction" "pvalue" "five.log.odds.ratio" "five.mut.cluster.cov" "five.wt.cluster.cov" "strand_1" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "wt.psi" "mut.psi" "dPSI"
"1" "chr21" 33572630 33573307 "+" 33572630 33573307 "clu_991" "clu_1024" "chr21:33572630:33573307:+" 0 6 6 0.608453915460845 Inf 149 12 "+" "clu_991" "clu_1024" 33573455 33573307 -825 0 -825 0 "cryptic_fiveprime" "SON" "ENSG00000156256.15" "." NA 1 "basic|appris_principal_1|CCDS" 9 8 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -825 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 9 8 "not_main_5_prime" "main" -825 0 0 4.02684563758389 4.02684563758389
"2" "chr21" 33548672 33549475 "+" 33548672 33549475 "clu_972" "clu_1002" "chr21:33548672:33549475:+" 3 9 12 0.322606773932261 -1.10161079166437 343 40 "+" "clu_972" "clu_1002" 33546379 33549475 2293 0 2293 0 "cryptic_fiveprime" "SON" "ENSG00000277117.4" "." NA 1 "basic|appris_principal_1|CCDS" 2 2 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" 2293 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 2 2 "not_main_5_prime" "main" 2293 0 7.5 2.62390670553936 -4.87609329446064
"3" "chr21" 33569087 33573307 "+" 33569087 33573307 "clu_989" "clu_1024" "chr21:33569087:33573307:+" 12 143 155 0.608453915460845 -Inf 149 12 "+" "clu_989" "clu_1024" 33569087 33573307 0 0 0 0 "annotated" "SON" "ENSG00000237945.7" "ENST00000356577.9+ENST00000381692.6" 1 1 "basic|appris_principal_1|CCDS" 8 8 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 8 8 "main" "main" 0 0 100 95.9731543624161 -4.0268456375839
"4" "chr21" 34073745 34102834 "+" 34073745 34102834 "clu_1122" "clu_1159" "chr21:34073745:34102834:+" 23 190 213 0.380856191438086 -0.72168348782488 207 24 "+" "clu_1122" "clu_1159" 34073745 34094862 0 7972 0 7972 "cryptic_threeprime" "MRPS6" "ENSG00000142166.13" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -22506 95.8333333333333 91.7874396135266 -4.04589371980677
"5" "chr21" 33546379 33549475 "+" 33546379 33549475 "clu_970" "clu_1002" "chr21:33546379:33549475:+" 37 334 371 0.322606773932261 1.10161079166437 343 40 "+" "clu_970" "clu_1002" 33546379 33549475 0 0 0 0 "annotated" "SON" "ENSG00000159140.20" "ENST00000300278.8+ENST00000356577.9+ENST00000381679.8" 0.75 1 "basic|appris_principal_1|CCDS" 2 2 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 2 2 "main" "main" 0 0 92.5 97.3760932944606 4.87609329446065
"6" "chr21" 15808885 15811136 "+" 15808885 15811136 "clu_108" "clu_111" "chr21:15808885:15811136:+" 1 19 20 NA 1.55814461804655 23 2 "+" "clu_108" "clu_111" 15808885 15811136 0 0 0 0 "annotated" "USP25" "ENSG00000198743.7" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 8 8 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 8 8 "main" "main" 0 0 50 82.6086956521739 32.6086956521739
"7" "chr21" 15805258 15811136 "+" 15805258 15811136 "clu_107" "clu_111" "chr21:15805258:15811136:+" 1 4 5 NA -1.55814461804655 23 2 "+" "clu_107" "clu_111" 15805258 15811136 0 0 0 0 "novel annotated pair" "USP25" "ENSG00000160190.14" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 7 8 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 7 8 "main" "main" 0 0 50 17.3913043478261 -32.6086956521739
"8" "chr21" 34073268 34102834 "+" 34073268 34102834 "clu_1118" "clu_1159" "chr21:34073268:34102834:+" 1 17 18 0.380856191438086 0.72168348782488 207 24 "+" "clu_1118" "clu_1159" 34073745 34094862 -477 7972 -477 7972 "cryptic_unanchored" "MRPS6" "ENSG00000155313.15" "" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "not_main_3_prime" -477 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "not_main_3_prime" -477 -22506 4.16666666666667 8.21256038647343 4.04589371980676
"9" "chr21" 34073745 34094862 "+" 34073745 34094862 "clu_1122" "clu_1155" "chr21:34073745:34094862:+" 4 102 106 0.523334766652333 1.29276830310907 109 5 "+" "clu_1122" "clu_1155" 34073745 34094862 0 0 0 0 "annotated" "MRPS6" "ENSG00000224905.7" "ENST00000381151.5" 0.33 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -30478 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -30478 80 93.5779816513761 13.5779816513761
"10" "chr21" 34094179 34094862 "+" 34094179 34094862 "clu_1125" "clu_1155" "chr21:34094179:34094862:+" 1 7 8 0.523334766652333 -1.29276830310907 109 5 "+" "clu_1125" "clu_1155" 34073745 34094862 20434 0 20434 0 "cryptic_fiveprime" "SLC5A3" "ENSG00000154719.13" "." NA 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" 20434 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" 20434 0 20 6.42201834862385 -13.5779816513761
