E/B/M_five.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_five.wt.cluster.cov,E/B/M_five.mut.cluster.cov,intron_junction,Tcells_five.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_five.wt.cluster.cov,Tcells_five.mut.cluster.cov,PreB_five.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_five.wt.cluster.cov,PreB_five.mut.cluster.cov,DC_five.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_five.wt.cluster.cov,DC_five.mut.cluster.cov,HSPC_five.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_five.wt.cluster.cov,HSPC_five.mut.cluster.cov,IMP_five.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_five.wt.cluster.cov,IMP_five.mut.cluster.cov,Bcells_five.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_five.wt.cluster.cov,Bcells_five.mut.cluster.cov,NP_five.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_five.wt.cluster.cov,NP_five.mut.cluster.cov,Mat_Mono_five.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_five.wt.cluster.cov,Mat_Mono_five.mut.cluster.cov,MonoDC_five.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_five.wt.cluster.cov,MonoDC_five.mut.cluster.cov,MkP_five.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_five.wt.cluster.cov,MkP_five.mut.cluster.cov,MEP_five.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_five.wt.cluster.cov,MEP_five.mut.cluster.cov,EP_five.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_five.wt.cluster.cov,EP_five.mut.cluster.cov,None_five.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_five.wt.cluster.cov,None_five.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:36415915:36416274:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,1,4,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,2,NA,0,0,0,2,3,NA,0,0,0,2,9,Inf,0,2,2,1,27,Inf,0,7,7,12,89,NA,0,2,2,0,14,chr21,36415915,36416274,+,36415915,36416274,clu_1274,clu_1316,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36415389:36416274:+,NA,0,0,0,1,0,NA,0,0,0,0,0,NA,0,1,1,0,3,NA,0,0,0,0,1,NA,0,0,0,0,2,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,4,NA,0,0,0,0,0,NA,0,2,2,0,9,-Inf,0,5,5,2,13,-Inf,0,5,5,4,91,NA,0,3,3,1,14,chr21,36415389,36416274,+,36415389,36416274,clu_1273,clu_1316,18,140,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36360044:36360183:+,NA,0,0,0,1,1,NA,0,0,0,0,1,NA,0,2,2,1,13,NA,1,0,1,2,3,NA,0,2,2,3,28,NA,0,0,0,0,1,NA,0,0,0,4,9,NA,3,1,4,10,30,NA,0,0,0,2,16,NA,0,2,2,2,47,Inf,2,2,4,29,204,Inf,1,15,16,81,947,Inf,0,1,1,5,141,chr21,36360044,36360183,+,36360044,36360183,clu_1242,clu_1282,0,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36360077:36360183:+,NA,0,0,0,1,1,NA,0,0,0,0,1,NA,0,1,1,1,13,NA,0,0,0,2,3,NA,0,3,3,3,28,NA,0,0,0,0,1,NA,0,0,0,4,9,NA,0,1,1,10,30,NA,0,0,0,2,16,NA,0,5,5,2,47,-Inf,3,14,17,29,204,-Inf,4,48,52,81,947,-Inf,0,7,7,5,141,chr21,36360077,36360183,+,36360077,36360183,clu_1243,clu_1282,8,122,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34073268:34125340:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,1,1,0,1,-Inf,0,0,0,0,0,Inf,1,4,5,1,4,NA,0,0,0,0,0,NA,0,1,1,0,1,-2.51999796959927,0,2,2,0,2,NA,2,3,5,2,3,Inf,1,9,10,2,9,-2.01243083139688,0,24,24,0,26,0.2527440210905,10,77,87,10,82,Inf,0,12,12,0,12,chr21,34073268,34125340,+,34073268,34125340,clu_1118,clu_1168,7,25,32,NA,0.766662333376666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34103519:34125340:+,NA,0,0,0,1,1,NA,0,0,0,0,1,Inf,0,1,1,1,13,NA,0,0,0,2,3,Inf,0,0,0,3,28,NA,0,0,0,0,1,NA,0,0,0,4,9,Inf,0,1,1,10,30,NA,0,0,0,2,16,Inf,0,1,1,2,47,-0.448482493191855,3,19,22,29,204,0.0274290371700639,8,25,33,81,947,Inf,0,4,4,5,141,chr21,34103519,34125340,+,34103519,34125340,clu_1137,clu_1168,7,79,86,NA,0.967030329696703,0.614453855461445,NA,NA,0.00349996500034999,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34102908:34125340:+,NA,0,0,0,1,1,NA,0,0,0,0,1,Inf,0,1,1,1,14,NA,0,0,0,2,3,NA,0,0,0,3,32,NA,0,0,0,1,1,NA,0,0,0,4,10,Inf,1,1,2,12,36,NA,0,0,0,2,16,Inf,0,2,2,2,50,-0.116432596558512,0,0,0,32,221,-1.39665149921984,1,9,10,84,1027,Inf,0,1,1,5,147,chr21,34102908,34125340,+,34102908,34125340,clu_1130,clu_1168,11,51,62,NA,0.142128578714213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34102936:34125340:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,2,0,2,NA,0,0,0,0,0,NA,0,4,4,0,4,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,2,3,1,2,NA,0,0,0,0,0,NA,0,6,6,0,7,NA,3,14,17,3,16,Inf,5,64,69,5,67,Inf,0,8,8,0,9,chr21,34102936,34125340,+,34102936,34125340,clu_1136,clu_1168,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34102912:34125340:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,1,1,0,1,-Inf,0,0,0,0,0,NA,1,4,5,1,4,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,2,2,0,2,Inf,2,3,5,2,3,NA,2,9,11,2,9,Inf,1,25,26,1,27,Inf,12,82,94,12,89,Inf,0,12,12,0,14,chr21,34102912,34125340,+,34102912,34125340,clu_1131,clu_1168,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34073745:34125340:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,1,Inf,0,0,0,0,0,-Inf,0,0,0,1,4,NA,0,0,0,0,0,NA,0,0,0,0,1,1.34992671694902,0,0,0,0,2,-Inf,0,0,0,2,3,-Inf,1,0,1,2,9,0.541995003728943,0,2,2,0,26,0.550906417507105,0,5,5,10,82,-Inf,0,0,0,0,12,chr21,34073745,34125340,+,34073745,34125340,clu_1122,clu_1168,114,1275,1389,0.157918420815792,0.243947560524395,0.372206277937221,0.0993290067099329,NA,0.00286997130028699,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36413315:36415294:+,NA,0,0,0,1,1,NA,0,0,0,0,1,NA,0,0,0,1,13,NA,0,0,0,2,3,NA,0,0,0,3,28,NA,0,0,0,0,1,NA,0,0,0,4,9,NA,0,0,0,10,30,NA,0,0,0,2,16,Inf,0,0,0,2,47,NA,0,0,0,29,204,-Inf,0,4,4,81,947,NA,0,1,1,5,141,chr21,36413315,36415294,+,36413315,36415294,clu_1272,clu_1312,14,133,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36411604:36415294:+,NA,0,0,0,1,1,NA,0,0,0,0,1,NA,0,0,0,1,14,NA,0,0,0,2,3,NA,0,2,2,3,32,NA,0,0,0,1,1,NA,0,1,1,4,10,NA,1,2,3,12,36,NA,0,1,1,2,16,-Inf,0,0,0,2,50,NA,1,11,12,32,221,Inf,1,35,36,84,1027,NA,0,2,2,5,147,chr21,36411604,36415294,+,36411604,36415294,clu_1269,clu_1312,1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34103519:34142407:+,NA,1,0,1,1,0,NA,0,0,0,0,0,Inf,1,7,8,1,7,NA,0,0,0,0,0,NA,2,1,3,2,1,NA,0,0,0,0,0,NA,0,2,2,0,2,-1.15745278869104,2,17,19,3,18,NA,0,1,1,0,1,Inf,2,16,18,2,16,NA,4,37,41,4,38,-0.309530011977651,19,220,239,19,228,Inf,1,44,45,1,45,chr21,34103519,34142407,+,34103519,34142407,clu_1137,clu_1171,2,14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34073745:34142407:+,NA,0,0,0,1,0,NA,0,0,0,0,0,NA,0,1,1,0,7,NA,0,0,0,0,0,Inf,0,0,0,1,2,NA,0,0,0,0,0,Inf,0,0,0,0,2,-0.435318071257846,0,1,1,2,13,Inf,0,0,0,0,1,NA,1,1,2,1,16,0.484774946566048,0,0,0,4,35,1.07446556200114,0,2,2,18,186,Inf,0,1,1,1,37,chr21,34073745,34142407,+,34073745,34142407,clu_1122,clu_1171,3,54,57,NA,0.223987760122399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34125480:34142407:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,2,NA,0,0,0,0,0,-Inf,0,0,0,0,4,NA,0,0,0,0,0,-Inf,0,0,0,0,0,0.78845736036427,0,0,0,1,2,-Inf,0,0,0,0,0,-Inf,0,1,1,0,7,-0.484774946566048,0,2,2,3,16,-0.607152580475402,0,3,3,5,67,-Inf,0,1,1,0,9,chr21,34125480,34142407,+,34125480,34142407,clu_1143,clu_1171,144,1491,1635,NA,0.459265407345927,0.618733812661873,NA,NA,0.250447495525045,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34102908:34103496:+,NA,0,0,0,1,1,NA,0,0,0,0,1,NA,0,0,0,1,13,NA,1,0,1,2,3,NA,0,0,0,3,28,NA,0,0,0,0,1,NA,0,0,0,4,9,NA,0,0,0,10,30,NA,0,1,1,2,16,NA,0,0,0,2,47,-Inf,0,2,2,29,204,-Inf,0,2,2,81,947,NA,0,1,1,5,141,chr21,34102908,34103496,+,34102908,34103496,clu_1130,clu_1160,9,100,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34102912:34103496:+,NA,1,1,2,1,1,NA,0,1,1,0,1,NA,1,9,10,1,13,NA,0,3,3,2,3,NA,3,23,26,3,28,NA,0,1,1,0,1,NA,4,9,13,4,9,NA,7,27,34,10,30,NA,2,15,17,2,16,NA,2,39,41,2,47,Inf,21,167,188,29,204,Inf,68,853,921,81,947,NA,5,127,132,5,141,chr21,34102912,34103496,+,34102912,34103496,clu_1131,clu_1160,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36338921:36341398:+,NA,1,0,1,1,0,NA,0,0,0,0,0,NA,2,5,7,2,5,NA,0,0,0,0,0,NA,2,1,3,2,1,NA,0,1,1,0,1,NA,0,2,2,0,2,2.14006616349627,2,18,20,2,18,NA,0,2,2,0,2,NA,2,15,17,2,16,-Inf,3,36,39,3,38,-Inf,17,210,227,18,216,-Inf,1,42,43,1,44,chr21,36338921,36341398,+,36338921,36341398,clu_1233,clu_1269,32,345,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36337006:36341398:+,NA,1,0,1,1,0,NA,0,0,0,0,0,NA,0,6,6,0,7,NA,0,0,0,0,0,NA,1,2,3,1,2,NA,0,0,0,0,0,NA,0,2,2,0,2,-2.14006616349627,2,12,14,2,13,NA,0,1,1,0,1,NA,0,15,15,1,16,Inf,4,35,39,4,35,Inf,18,184,202,18,186,Inf,1,36,37,1,37,chr21,36337006,36341398,+,36337006,36341398,clu_1228,clu_1269,1,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36345031:36356619:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,1,2,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,0,0,0,0,NA,0,0,0,1,2,-Inf,0,0,0,1,6,NA,0,1,1,1,20,Inf,0,4,4,9,69,Inf,0,0,0,0,10,chr21,36345031,36356619,+,36345031,36356619,clu_1238,clu_1279,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36349408:36356619:+,NA,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,2,5,NA,0,0,0,0,0,NA,0,0,0,2,1,NA,0,0,0,0,1,NA,0,0,0,0,2,-Inf,0,0,0,2,18,NA,0,0,0,0,2,Inf,0,1,1,2,16,NA,0,2,2,3,38,-Inf,0,4,4,18,216,-Inf,0,0,0,1,44,chr21,36349408,36356619,+,36349408,36356619,clu_1240,clu_1279,27,293,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:36320303:36333645:+,NA,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,2,5,NA,0,0,0,0,0,NA,0,0,0,2,1,NA,0,0,0,0,1,NA,0,0,0,0,2,NA,0,0,0,2,18,NA,0,0,0,0,2,-Inf,0,0,0,2,16,-Inf,0,0,0,3,38,0.722134717433197,1,2,3,18,216,-Inf,0,2,2,1,44,chr21,36320303,36333645,+,36320303,36333645,clu_1218,clu_1261,30,332,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
