"E.B.M_five.obs.logOR.ratio" "E.B.M_obs.wt" "E.B.M_obs.mut" "E.B.M_total.reads.per.junction" "E.B.M_five.wt.cluster.cov" "E.B.M_five.mut.cluster.cov" "intron_junction" "Tcells_five.obs.logOR.ratio" "Tcells_obs.wt" "Tcells_obs.mut" "Tcells_total.reads.per.junction" "Tcells_five.wt.cluster.cov" "Tcells_five.mut.cluster.cov" "PreB_five.obs.logOR.ratio" "PreB_obs.wt" "PreB_obs.mut" "PreB_total.reads.per.junction" "PreB_five.wt.cluster.cov" "PreB_five.mut.cluster.cov" "DC_five.obs.logOR.ratio" "DC_obs.wt" "DC_obs.mut" "DC_total.reads.per.junction" "DC_five.wt.cluster.cov" "DC_five.mut.cluster.cov" "HSPC_five.obs.logOR.ratio" "HSPC_obs.wt" "HSPC_obs.mut" "HSPC_total.reads.per.junction" "HSPC_five.wt.cluster.cov" "HSPC_five.mut.cluster.cov" "IMP_five.obs.logOR.ratio" "IMP_obs.wt" "IMP_obs.mut" "IMP_total.reads.per.junction" "IMP_five.wt.cluster.cov" "IMP_five.mut.cluster.cov" "Bcells_five.obs.logOR.ratio" "Bcells_obs.wt" "Bcells_obs.mut" "Bcells_total.reads.per.junction" "Bcells_five.wt.cluster.cov" "Bcells_five.mut.cluster.cov" "NP_five.obs.logOR.ratio" "NP_obs.wt" "NP_obs.mut" "NP_total.reads.per.junction" "NP_five.wt.cluster.cov" "NP_five.mut.cluster.cov" "Mat_Mono_five.obs.logOR.ratio" "Mat_Mono_obs.wt" "Mat_Mono_obs.mut" "Mat_Mono_total.reads.per.junction" "Mat_Mono_five.wt.cluster.cov" "Mat_Mono_five.mut.cluster.cov" "MonoDC_five.obs.logOR.ratio" "MonoDC_obs.wt" "MonoDC_obs.mut" "MonoDC_total.reads.per.junction" "MonoDC_five.wt.cluster.cov" "MonoDC_five.mut.cluster.cov" "MkP_five.obs.logOR.ratio" "MkP_obs.wt" "MkP_obs.mut" "MkP_total.reads.per.junction" "MkP_five.wt.cluster.cov" "MkP_five.mut.cluster.cov" "MEP_five.obs.logOR.ratio" "MEP_obs.wt" "MEP_obs.mut" "MEP_total.reads.per.junction" "MEP_five.wt.cluster.cov" "MEP_five.mut.cluster.cov" "EP_five.obs.logOR.ratio" "EP_obs.wt" "EP_obs.mut" "EP_total.reads.per.junction" "EP_five.wt.cluster.cov" "EP_five.mut.cluster.cov" "None_five.obs.logOR.ratio" "None_obs.wt" "None_obs.mut" "None_total.reads.per.junction" "None_five.wt.cluster.cov" "None_five.mut.cluster.cov" "chr.x" "start.x" "end.x" "strand.x" "five_prime.x" "three_prime.x" "five_prime_ID" "three_prime_ID" "obs.wt" "obs.mut" "total.reads.per.junction" "None_pvalue" "EP_pvalue" "MEP_pvalue" "MkP_pvalue" "MonoDC_pvalue" "Mat_Mono_pvalue" "NP_pvalue" "Bcells_pvalue" "IMP_pvalue" "HSPC_pvalue" "DC_pvalue" "PreB_pvalue" "Tcells_pvalue" "E.B.M_pvalue" "chr.y" "start.y" "end.y" "strand_1" "five_prime.y" "three_prime.y" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "strand.y" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "None_wt.psi" "None_mut.psi" "None_dPSI" "EP_wt.psi" "EP_mut.psi" "EP_dPSI" "MEP_wt.psi" "MEP_mut.psi" "MEP_dPSI" "MkP_wt.psi" "MkP_mut.psi" "MkP_dPSI" "MonoDC_wt.psi" "MonoDC_mut.psi" "MonoDC_dPSI" "Mat_Mono_wt.psi" "Mat_Mono_mut.psi" "Mat_Mono_dPSI" "NP_wt.psi" "NP_mut.psi" "NP_dPSI" "Bcells_wt.psi" "Bcells_mut.psi" "Bcells_dPSI" "IMP_wt.psi" "IMP_mut.psi" "IMP_dPSI" "HSPC_wt.psi" "HSPC_mut.psi" "HSPC_dPSI" "DC_wt.psi" "DC_mut.psi" "DC_dPSI" "PreB_wt.psi" "PreB_mut.psi" "PreB_dPSI" "Tcells_wt.psi" "Tcells_mut.psi" "Tcells_dPSI" "merge.output_Verdict" "Final_Verdict"
"1" NA 0 0 0 0 0 "chr21:36360044:36360183:+" NA 0 0 0 1 1 NA 0 0 0 0 1 NA 0 2 2 1 13 NA 1 0 1 2 3 NA 0 2 2 3 28 NA 0 0 0 0 1 NA 0 0 0 4 9 NA 3 1 4 10 30 NA 0 0 0 2 16 NA 0 2 2 2 47 Inf 2 2 4 29 204 Inf 1 15 16 81 947 Inf 0 1 1 5 141 "chr21" 36360044 36360183 "+" 36360044 36360183 "clu_1242" "clu_1282" 0 16 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 36360044 36360183 "+" 36360044 36360183 "clu_1242" "clu_1282" 36360077 36360183 -33 0 -33 0 "+" "cryptic_fiveprime" "MORC3" "ENSG00000160194.18" "." NA 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|exp_conf|CCDS" 11 11 "non_canonical_U12|basic|MANE_Select|appris_principal_1|exp_conf|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|exp_conf|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -33 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|exp_conf|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|exp_conf|CCDS" 11 11 "not_main_5_prime" "main" -33 0 0 0.709219858156028 0.709219858156028 1.23456790123457 1.58394931362196 0.349381412387396 6.89655172413793 0.980392156862745 -5.91615956727519 0 4.25531914893617 4.25531914893617 0 0 0 30 3.33333333333333 -26.6666666666667 0 0 0 NA 0 NA 0 7.14285714285714 7.14285714285714 50 0 -50 0 15.3846153846154 15.3846153846154 NA 0 NA 0 0 0 NA "Cryptic_fiveprime"
"2" NA 0 0 0 1 1 "chr21:37072537:37072863:-" NA 0 0 0 0 1 NA 0 0 0 2 1 NA 0 0 0 1 10 NA 0 0 0 4 11 NA 0 0 0 3 34 NA 0 0 0 0 0 NA 0 0 0 4 11 NA 0 0 0 14 23 NA 0 0 0 4 11 -Inf 1 0 1 12 39 Inf 0 3 3 15 131 Inf 0 5 5 21 361 Inf 0 1 1 1 44 "chr21" 37072537 37072863 "-" 37072863 37072537 "clu_1305" "clu_1348" 1 9 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 37072537 37072863 "-" 37072863 37072537 "clu_1305" "clu_1348" 37072537 37072847 0 16 -16 0 "-" "cryptic_fiveprime" "PIGP" "ENSG00000157538.14" "." NA 1 "basic|appris_principal_1|CCDS" 1 5 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 16 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" -16 0 0 2.27272727272727 2.27272727272727 0 1.38504155124654 1.38504155124654 0 2.29007633587786 2.29007633587786 8.33333333333333 0 -8.33333333333333 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 NA NA "Cryptic_fiveprime"
"3" NA 0 0 0 0 0 "chr21:37072537:37073096:-" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 1 2 NA 0 1 1 2 2 NA 0 0 0 0 0 NA 0 0 0 1 0 -0.105360515657826 0 0 0 3 4 NA 0 0 0 0 0 NA 0 0 0 0 3 Inf 0 1 1 3 18 Inf 0 3 3 4 86 Inf 0 0 0 0 19 "chr21" 37072537 37073096 "-" 37073096 37072537 "clu_1309" "clu_1348" 2 15 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 37072537 37073096 "-" 37073096 37072537 "clu_1309" "clu_1348" 37072537 37072999 0 97 -97 0 "-" "cryptic_fiveprime" "PIGP" "." "." NA 1 "basic|appris_principal_1|CCDS" 1 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 97 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" -97 0 NA 0 NA 0 3.48837209302326 3.48837209302326 0 5.55555555555556 5.55555555555556 NA 0 NA NA NA NA 0 0 0 0 NA NA NA NA NA 0 50 50 0 0 0 NA 0 NA NA NA NA NA NA NA NA "Cryptic_fiveprime"
"4" NA 0 0 0 2 2 "chr21:37227806:37228241:-" NA 0 0 0 0 1 NA 0 0 0 0 1 NA 0 0 0 1 17 NA 0 0 0 1 20 NA 0 1 1 16 84 NA 0 0 0 0 0 NA 0 0 0 10 25 NA 0 1 1 9 61 NA 0 0 0 9 39 NA 0 1 1 23 234 -2.14006616349627 0 2 2 86 717 Inf 0 7 7 214 3253 NA 0 2 2 6 515 "chr21" 37227806 37228241 "-" 37228241 37227806 "clu_1421" "clu_1461" 1 5 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 37227806 37228241 "-" 37228241 37227806 "clu_1421" "clu_1461" 37227806 37228222 0 19 -19 0 "-" "cryptic_fiveprime" "VPS26C" "." "." NA 1 "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 19 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 6 6 "not_main_5_prime" "main" -19 0 0 0.388349514563107 0.388349514563107 0 0.215185982170304 0.215185982170304 0 0.278940027894003 0.278940027894003 0 0.427350427350427 0.427350427350427 0 0 0 0 1.63934426229508 1.63934426229508 0 0 0 NA NA NA 0 1.19047619047619 1.19047619047619 0 0 0 0 0 0 NA 0 NA NA 0 NA NA "Cryptic_fiveprime"
"5" NA 0 0 0 0 0 "chr21:39181878:39183277:-" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 1 3 NA 0 0 0 0 1 Inf 0 0 0 1 7 NA 0 0 0 0 0 NA 0 0 0 1 2 Inf 0 0 0 0 5 NA 0 0 0 1 6 NA 0 0 0 1 11 Inf 0 2 2 5 43 -0.584326453837223 1 10 11 15 232 Inf 0 1 1 0 32 "chr21" 39181878 39183277 "-" 39183277 39181878 "clu_1543" "clu_1592" 3 35 38 NA 0.516484835151648 NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 39181878 39183277 "-" 39183277 39181878 "clu_1543" "clu_1592" 39181878 39183251 0 26 -26 0 "-" "cryptic_fiveprime" "PSMG1" "ENSG00000159086.15" "." NA 1 "basic|appris_principal_1|CCDS" 1 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 26 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" -26 0 NA 3.125 NA 6.66666666666667 4.31034482758621 -2.35632183908046 0 4.65116279069767 4.65116279069767 0 0 0 0 0 0 NA 0 NA 0 0 0 NA NA NA 0 0 0 NA 0 NA 0 0 0 NA NA NA NA NA NA NA "Cryptic_fiveprime"
"6" NA 0 0 0 0 0 "chr21:43798049:43799569:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 Inf 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 0 NA 0 0 0 0 0 Inf 0 1 1 1 14 -0.834225778819851 0 12 12 4 111 Inf 0 3 3 0 21 "chr21" 43798049 43799569 "+" 43798049 43799569 "clu_2138" "clu_2158" 1 15 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 43798049 43799569 "+" 43798049 43799569 "clu_2138" "clu_2158" 43798100 43799569 -51 0 -51 0 "+" "cryptic_fiveprime" "RRP1" "ENSG00000183570.16" "." NA 1 "basic|appris_principal_1|CCDS" 8 8 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -51 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 8 8 "not_main_5_prime" "main" -51 0 NA 14.2857142857143 NA 0 10.8108108108108 10.8108108108108 0 7.14285714285714 7.14285714285714 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Cryptic_fiveprime"
"7" NA 0 0 0 0 0 "chr21:43789695:43791349:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 1 0 1 1 1 NA 0 0 0 0 1 NA 0 0 0 0 6 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 4 NA 1 1 2 1 5 Inf 0 0 0 2 6 Inf 0 6 6 0 20 Inf 0 0 0 0 1 "chr21" 43789695 43791349 "+" 43789695 43791349 "clu_2115" "clu_2142" 0 8 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 43789695 43791349 "+" 43789695 43791349 "clu_2115" "clu_2142" 43789762 43791349 -67 0 -67 0 "+" "cryptic_fiveprime" "RRP1" "ENSG00000142168.14" "." NA 1 "basic|appris_principal_1|CCDS" 1 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -67 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" -67 0 NA 0 NA NA 30 NA 0 0 0 100 20 -80 NA 25 NA NA NA NA NA NA NA NA NA NA NA 0 NA NA 0 NA 100 0 -100 NA NA NA NA NA NA NA "Cryptic_fiveprime"
"8" NA 1 0 1 1 0 "chr21:42863596:42873602:-" NA 0 1 1 0 1 NA 0 0 0 0 0 NA 0 2 2 0 2 NA 0 1 1 0 2 -1.09861228866811 2 9 11 3 9 NA 0 0 0 0 0 NA 0 4 4 0 4 -Inf 2 7 9 2 7 Inf 2 5 7 2 5 -Inf 3 20 23 3 20 0.0194180858571015 12 65 77 13 67 0.736423164041767 26 469 495 28 479 NA 0 115 115 0 116 "chr21" 42863596 42873602 "-" 42873602 42863596 "clu_1955" "clu_1986" 10 105 115 NA 0.260287397126029 0.981670183298167 NA NA 0.000549994500054996 NA NA NA NA NA NA NA NA "chr21" 42863596 42873602 "-" 42873602 42863596 "clu_1955" "clu_1986" 42863596 42873550 0 52 -52 0 "-" "cryptic_fiveprime" "WDR4" "ENSG00000180530.11" "." 0 2 "basic|appris_principal_1|CCDS, alternative_3_UTR|basic|appris_principal_1|CCDS" 14 14 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 52 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 3 3 "not_main_5_prime" "main" -52 0 NA 99.1379310344828 NA 92.8571428571429 97.9123173277662 5.05517447062331 92.3076923076923 97.0149253731343 4.70723306544203 100 100 0 100 100 0 100 100 0 NA 100 NA NA NA NA 66.6666666666667 100 33.3333333333333 NA 50 NA NA 100 NA NA NA NA NA 100 NA NA "Cryptic_fiveprime"
"9" NA 0 0 0 1 1 "chr21:43774330:43774687:-" NA 0 0 0 1 1 NA 0 0 0 2 1 NA 0 0 0 1 10 NA 0 1 1 4 13 NA 1 1 2 16 61 NA 0 0 0 0 0 Inf 0 0 0 12 23 -Inf 1 4 5 23 62 NA 1 0 1 9 35 NA 1 1 2 20 183 Inf 0 7 7 59 476 NA 1 9 10 128 1562 Inf 0 0 0 3 266 "chr21" 43774330 43774687 "-" 43774687 43774330 "clu_2109" "clu_2137" 1 5 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 43774330 43774687 "-" 43774687 43774330 "clu_2109" "clu_2137" 43774330 43774657 0 30 -30 0 "-" "cryptic_fiveprime" "CSTB" "ENSG00000160201.11" "." NA 1 "basic|appris_principal_1|CCDS" 2 2 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 30 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 2 2 "not_main_5_prime" "main" -30 0 0 0 0 0.78125 0.57618437900128 -0.20506562099872 0 1.47058823529412 1.47058823529412 5 0.546448087431694 -4.45355191256831 11.1111111111111 0 -11.1111111111111 4.34782608695652 6.45161290322581 2.10378681626928 0 0 0 NA NA NA 6.25 1.63934426229508 -4.61065573770492 0 7.69230769230769 7.69230769230769 0 0 0 0 0 0 0 0 0 NA "Cryptic_fiveprime"
"10" NA 0 0 0 0 0 "chr21:25601467:25603804:-" NA 0 1 1 0 2 NA 0 0 0 0 0 NA 2 8 10 2 8 NA 0 0 0 0 0 Inf 2 4 6 2 5 NA 0 0 0 0 0 Inf 3 21 24 4 22 NA 54 117 171 57 124 -Inf 3 6 9 3 7 Inf 0 4 4 0 4 Inf 2 7 9 2 7 Inf 0 15 15 1 16 NA 3 5 8 3 5 "chr21" 25601467 25603804 "-" 25603804 25601467 "clu_223" "clu_236" 1 7 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 25601467 25603804 "-" 25603804 25601467 "clu_223" "clu_236" 25601467 25603795 0 9 -9 0 "-" "cryptic_fiveprime" "MRPL39" "." "." NA 1 "basic|appris_principal_1|CCDS" 3 3 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_5_prime" 0 9 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 3 3 "not_main_5_prime" "main" -9 0 100 100 0 0 93.75 93.75 100 100 0 NA 100 NA 100 85.7142857142857 -14.2857142857143 94.7368421052632 94.3548387096774 -0.382003395585727 75 95.4545454545455 20.4545454545455 NA NA NA 100 80 -20 NA NA NA 100 100 0 NA NA NA NA 50 NA NA "Cryptic_fiveprime"
