chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,17513172,17547026,+,17513172,17547026,clu_144,clu_150,chr21:17513172:17547026:+,2,110,112
chr21,37156906,37158130,+,37156906,37158130,clu_1364,clu_1393,chr21:37156906:37158130:+,1,6,7
chr21,37073473,37087246,+,37073473,37087246,clu_1313,clu_1349,chr21:37073473:37087246:+,1,22,23
chr21,17549626,17551748,+,17549626,17551748,clu_150,clu_153,chr21:17549626:17551748:+,0,5,5
chr21,37157214,37158130,+,37157214,37158130,clu_1365,clu_1393,chr21:37157214:37158130:+,5,28,33
chr21,17547193,17551748,+,17547193,17551748,clu_149,clu_153,chr21:17547193:17551748:+,2,114,116
chr21,37157214,37159698,+,37157214,37159698,clu_1365,clu_1394,chr21:37157214:37159698:+,1,45,46
chr21,37430400,37472683,+,37430400,37472683,clu_1447,clu_1483,chr21:37430400:37472683:+,1,4,5
chr21,17531696,17547026,+,17531696,17547026,clu_145,clu_150,chr21:17531696:17547026:+,0,5,5
chr21,16419741,16487489,+,16419741,16487489,clu_139,clu_143,chr21:16419741:16487489:+,2,5,7
chr21,37158203,37159698,+,37158203,37159698,clu_1367,clu_1394,chr21:37158203:37159698:+,4,24,28
chr21,37148647,37150077,+,37148647,37150077,clu_1350,clu_1379,chr21:37148647:37150077:+,15,196,211
chr21,16391685,16487489,+,16391685,16487489,clu_138,clu_143,chr21:16391685:16487489:+,2,11,13
chr21,37420384,37472683,+,37420384,37472683,clu_1443,clu_1483,chr21:37420384:37472683:+,1,18,19
chr21,37084331,37087246,+,37084331,37087246,clu_1315,clu_1349,chr21:37084331:37087246:+,0,9,9
chr21,37156906,37159698,+,37156906,37159698,clu_1364,clu_1394,chr21:37156906:37159698:+,15,311,326
chr21,37147603,37150077,+,37147603,37150077,clu_1349,clu_1379,chr21:37147603:37150077:+,0,7,7
chr21,37073473,37108391,+,37073473,37108391,clu_1313,clu_1364,chr21:37073473:37108391:+,0,11,11
chr21,37158151,37159698,+,37158151,37159698,clu_1366,clu_1394,chr21:37158151:37159698:+,2,10,12
chr21,37073364,37087246,+,37073364,37087246,clu_1312,clu_1349,chr21:37073364:37087246:+,0,6,6
chr21,37096643,37108391,+,37096643,37108391,clu_1329,clu_1364,chr21:37096643:37108391:+,1,66,67
chr21,37072537,37072863,-,37072863,37072537,clu_1305,clu_1348,chr21:37072537:37072863:-,1,9,10
chr21,37069624,37072433,-,37072433,37069624,clu_1301,clu_1346,chr21:37069624:37072433:-,97,738,835
chr21,37072537,37072692,-,37072692,37072537,clu_1302,clu_1348,chr21:37072537:37072692:-,0,9,9
chr21,39178647,39180284,-,39180284,39178647,clu_1530,clu_1579,chr21:39178647:39180284:-,28,339,367
chr21,39179966,39183251,-,39183251,39179966,clu_1542,clu_1582,chr21:39179966:39183251:-,0,12,12
chr21,37232451,37267237,-,37267237,37232451,clu_1435,clu_1467,chr21:37232451:37267237:-,0,5,5
chr21,39179966,39180284,-,39180284,39179966,clu_1530,clu_1582,chr21:39179966:39180284:-,6,65,71
chr21,37069624,37072144,-,37072144,37069624,clu_1300,clu_1346,chr21:37069624:37072144:-,7,82,89
chr21,39177571,39180284,-,39180284,39177571,clu_1530,clu_1568,chr21:39177571:39180284:-,0,13,13
chr21,38445621,38474026,-,38474026,38445621,clu_1484,clu_1527,chr21:38445621:38474026:-,2,3,5
chr21,37072537,37072990,-,37072990,37072537,clu_1306,clu_1348,chr21:37072537:37072990:-,0,7,7
chr21,37232451,37233361,-,37233361,37232451,clu_1424,clu_1467,chr21:37232451:37233361:-,12,118,130
chr21,39177571,39178448,-,39178448,39177571,clu_1518,clu_1568,chr21:39177571:39178448:-,377,4942,5319
chr21,39179986,39183251,-,39183251,39179986,clu_1542,clu_1584,chr21:39179986:39183251:-,0,9,9
chr21,37227806,37228222,-,37228222,37227806,clu_1420,clu_1461,chr21:37227806:37228222:-,13,110,123
chr21,37072537,37072847,-,37072847,37072537,clu_1304,clu_1348,chr21:37072537:37072847:-,5,38,43
chr21,38392444,38400573,-,38400573,38392444,clu_1472,clu_1516,chr21:38392444:38400573:-,4,6,10
chr21,37227806,37228241,-,37228241,37227806,clu_1421,clu_1461,chr21:37227806:37228241:-,1,5,6
chr21,37067380,37072433,-,37072433,37067380,clu_1301,clu_1345,chr21:37067380:37072433:-,0,16,16
chr21,37072537,37072999,-,37072999,37072537,clu_1307,clu_1348,chr21:37072537:37072999:-,74,600,674
chr21,38445621,38498362,-,38498362,38445621,clu_1485,clu_1527,chr21:38445621:38498362:-,10,51,61
chr21,37072537,37073096,-,37073096,37072537,clu_1309,clu_1348,chr21:37072537:37073096:-,2,15,17
chr21,38392444,38402556,-,38402556,38392444,clu_1473,clu_1516,chr21:38392444:38402556:-,3,11,14
chr21,39177571,39183251,-,39183251,39177571,clu_1542,clu_1568,chr21:39177571:39183251:-,0,14,14
chr21,39178647,39179923,-,39179923,39178647,clu_1526,clu_1579,chr21:39178647:39179923:-,336,4494,4830
chr21,37067380,37069551,-,37069551,37067380,clu_1299,clu_1345,chr21:37067380:37069551:-,102,803,905
chr21,37232451,37238459,-,37238459,37232451,clu_1426,clu_1467,chr21:37232451:37238459:-,2,12,14
chr21,39179986,39180284,-,39180284,39179986,clu_1530,clu_1584,chr21:39179986:39180284:-,329,4371,4700
