,chr,start,end,strand_1,five_prime,three_prime,clusterID_5p,clusterID_3p,start_match,end_match,start_diff,end_diff,fivep_diff,threep_diff,strand,verdict,gene,ensemblID,transcripts,constitutive.score,numTags,tags,relStart,relEnd,relStartTag,relEndTag,relStartTagClass,relEndTagClass,relStartTagAlt,relEndTagAlt,startClass,endClass,startDistance,endDistance,numTags_skipping,tags_skipping,curTag_skipping,relStartExon_skipping,relEndExon_skipping
2179,chr21,31685240,31685397,-,31685397,31685240,clu_649,clu_649,31685240,31685397,0,0,0,0,-,annotated,SCAF4,ENSG00000157617.17,ENST00000286835.11+ENST00000434667.3,0.67,1,basic|appris_principal_3|CCDS,18.0,18.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,18.0,18.0
2218,chr21,31706357,31731662,-,31731662,31706357,clu_669,clu_669,31706357,31731662,0,0,0,0,-,annotated,SCAF4,ENSG00000142207.7,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,1.0,1.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,1.0,1.0
2291,chr21,31702379,31703764,-,31703764,31702379,clu_666,clu_666,31702379,31703764,0,0,0,0,-,annotated,SCAF4,ENSG00000160255.18,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,4.0,4.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,4.0,4.0
2422,chr21,31690953,31691816,-,31691816,31690953,clu_654,clu_654,31690953,31691816,0,0,0,0,-,annotated,SCAF4,ENSG00000159086.15,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,14.0,14.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,14.0,14.0
2426,chr21,31694980,31696112,-,31696112,31694980,clu_659,clu_659,31694980,31696112,0,0,0,0,-,annotated,SCAF4,ENSG00000142207.7,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,9.0,9.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,9.0,9.0
2432,chr21,31686199,31688306,-,31688306,31686199,clu_652,clu_652,31685733,31688306,466,0,0,-466,-,cryptic_threeprime,SCAF4,ENSG00000160193.11,.,0.0,1,basic|appris_principal_3|CCDS,16.0,16.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,not_main_3_prime,main,466.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,16.0,16.0
2561,chr21,31693484,31694203,-,31694203,31693484,clu_657,clu_657,31693484,31694203,0,0,0,0,-,annotated,SCAF4,ENSG00000160255.18,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,11.0,11.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,11.0,11.0
2645,chr21,31703926,31705422,-,31705422,31703926,clu_667,clu_667,31703926,31705422,0,0,0,0,-,annotated,SCAF4,ENSG00000184787.19,ENST00000286835.11+ENST00000399804.5,1.0,1,basic|appris_principal_3|CCDS,3.0,3.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,3.0,3.0
3081,chr21,31694289,31694812,-,31694812,31694289,clu_658,clu_658,31694289,31694812,0,0,0,0,-,annotated,SCAF4,ENSG00000185658.13,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,10.0,10.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,10.0,10.0
3174,chr21,31701171,31701775,-,31701775,31701171,clu_663,clu_664,31701171,31701775,0,0,0,0,-,annotated,SCAF4,ENSG00000160201.11,ENST00000286835.11+ENST00000399804.5+ENST00000434667.3,1.0,1,basic|appris_principal_3|CCDS,6.0,6.0,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,appris_principal_3,appris_principal_3,,,main,main,0.0,0.0,1,basic|appris_principal_3|CCDS,basic|appris_principal_3|CCDS,6.0,6.0
