"chr" "start" "end" "strand" "five_prime" "three_prime" "five_prime_ID" "three_prime_ID" "intron_junction" "obs.wt" "obs.mut" "total.reads.per.junction" "pvalue" "three.log.odds.ratio" "three.mut.cluster.cov" "three.wt.cluster.cov" "strand_1" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "wt.psi" "mut.psi" "dPSI"
"1" "chr21" 34073745 34094136 "+" 34073745 34094136 "clu_1122" "clu_1154" "chr21:34073745:34094136:+" 1 7 8 0.633373666263337 -0.479998159970731 1636 145 "+" "clu_1122" "clu_1154" 34073745 34094862 0 -726 0 -726 "cryptic_threeprime" "MRPS6" "ENSG00000182670.13" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -31204 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -31204 0.689655172413793 0.427872860635697 -0.261782311778096
"2" "chr21" 34073268 34125340 "+" 34073268 34125340 "clu_1118" "clu_1168" "chr21:34073268:34125340:+" 7 25 32 NA -1.56024766824333 42 8 "+" "clu_1118" "clu_1168" 34073745 34125340 -477 0 -477 0 "cryptic_fiveprime" "MRPS6" "ENSG00000182670.13" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -477 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" -477 0 87.5 59.5238095238095 -27.9761904761905
"3" "chr21" 34102908 34125340 "+" 34102908 34125340 "clu_1130" "clu_1168" "chr21:34102908:34125340:+" 11 51 62 0.118688813111869 -0.874015248725917 151 20 "+" "clu_1130" "clu_1168" 34125480 34125340 -22572 0 -22572 0 "cryptic_fiveprime" "MRPS6" "ENSG00000160305.18" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 2 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -22572 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 2 1 "not_main_5_prime" "main" -22572 0 55 33.7748344370861 -21.2251655629139
"4" "chr21" 34102908 34103496 "+" 34102908 34103496 "clu_1130" "clu_1160" "chr21:34102908:34103496:+" 9 100 109 0.118688813111869 0.874015248725917 151 20 "+" "clu_1130" "clu_1160" 34125480 34094862 -22572 8634 -22572 8634 "cryptic_unanchored" "MRPS6" "ENSG00000160305.18" "" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 2 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "not_main_3_prime" -22572 -21844 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 2 1 "not_main_5_prime" "not_main_3_prime" -22572 -21844 45 66.2251655629139 21.2251655629139
"5" "chr21" 34073745 34142407 "+" 34073745 34142407 "clu_1122" "clu_1171" "chr21:34073745:34142407:+" 3 54 57 0.284517154828452 0.479753667169826 1636 145 "+" "clu_1122" "clu_1171" 34073745 34142407 0 0 0 0 "novel annotated pair" "MRPS6" "ENSG00000182670.13" "ENST00000399312.3" 0.33 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 2 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 2 "main" "main" 0 0 2.06896551724138 3.30073349633252 1.23176797909114
"6" "chr21" 34073745 34102834 "+" 34073745 34102834 "clu_1122" "clu_1159" "chr21:34073745:34102834:+" 23 190 213 0.14769852301477 -0.361005501754117 1636 145 "+" "clu_1122" "clu_1159" 34073745 34094862 0 7972 0 7972 "cryptic_threeprime" "MRPS6" "ENSG00000142166.13" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -22506 15.8620689655172 11.6136919315403 -4.2483770339769
"7" "chr21" 15805258 15808808 "+" 15805258 15808808 "clu_107" "clu_110" "chr21:15805258:15808808:+" 1 19 20 NA 1.55814461804655 23 2 "+" "clu_107" "clu_110" 15805258 15808808 0 0 0 0 "annotated" "USP25" "ENSG00000182871.16" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 7 7 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 7 7 "main" "main" 0 0 50 82.6086956521739 32.6086956521739
"8" "chr21" 34073745 34125340 "+" 34073745 34125340 "clu_1122" "clu_1168" "chr21:34073745:34125340:+" 114 1275 1389 0.853731462685373 -0.0403877446497036 1636 145 "+" "clu_1122" "clu_1168" 34073745 34125340 0 0 0 0 "annotated" "MRPS6" "ENSG00000142166.13" "ENST00000399312.3+ENST00000362077.4" 0.67 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "main" 0 0 78.6206896551724 77.9339853300734 -0.686704325099058
"9" "chr21" 34073745 34095930 "+" 34073745 34095930 "clu_1122" "clu_1156" "chr21:34073745:34095930:+" 0 8 8 0.565234347656523 Inf 1636 145 "+" "clu_1122" "clu_1156" 34073745 34094862 0 1068 0 1068 "cryptic_threeprime" "MRPS6" "ENSG00000183570.16" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -29410 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -29410 0 0.488997555012225 0.488997555012225
"10" "chr21" 15805258 15811136 "+" 15805258 15811136 "clu_107" "clu_111" "chr21:15805258:15811136:+" 1 4 5 NA -1.55814461804655 23 2 "+" "clu_107" "clu_111" 15805258 15811136 0 0 0 0 "novel annotated pair" "USP25" "ENSG00000160190.14" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 7 8 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 7 8 "main" "main" 0 0 50 17.3913043478261 -32.6086956521739
"11" "chr21" 34073268 34102834 "+" 34073268 34102834 "clu_1118" "clu_1159" "chr21:34073268:34102834:+" 1 17 18 NA 1.56024766824333 42 8 "+" "clu_1118" "clu_1159" 34073745 34094862 -477 7972 -477 7972 "cryptic_unanchored" "MRPS6" "ENSG00000155313.15" "" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "not_main_3_prime" -477 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "not_main_3_prime" -477 -22506 12.5 40.4761904761905 27.9761904761905
"12" "chr21" 34073745 34094862 "+" 34073745 34094862 "clu_1122" "clu_1155" "chr21:34073745:34094862:+" 4 102 106 0.011109888901111 0.851804360615347 1636 145 "+" "clu_1122" "clu_1155" 34073745 34094862 0 0 0 0 "annotated" "MRPS6" "ENSG00000224905.7" "ENST00000381151.5" 0.33 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -30478 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -30478 2.75862068965517 6.23471882640587 3.4760981367507
"13" "chr21" 33595836 33599149 "-" 33599149 33595836 "clu_1045" "clu_1060" "chr21:33595836:33599149:-" 1 4 5 1 -0.806475865866949 452 51 "-" "clu_1045" "clu_1060" 33595836 33599149 0 0 0 0 "novel annotated pair" "CRYZL1" "ENSG00000160213.7" "ENST00000290244.9+ENST00000361534.6+ENST00000381540.7+ENST00000381554.8" 1 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 9 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 10 9 "main" "main" 0 0 1.96078431372549 0.884955752212389 -1.0758285615131
"14" "chr21" 33912399 33915727 "-" 33915727 33912399 "clu_1105" "clu_1135" "chr21:33912399:33915727:-" 0 9 9 0.182278177218228 Inf 5917 625 "-" "clu_1105" "clu_1135" 33912399 33915727 0 0 0 0 "novel annotated pair" "AP000311.1" "ENSG00000156261.13" "ENST00000290299.7+ENST00000429238.2" 1 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 2 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" "mRNA_end_NF|cds_end_NF|basic|appris_principal_1|readthrough_transcript" 3 2 "main" "main" 0 0 0 0.152104106810884 0.152104106810884
"15" "chr21" 33613606 33616705 "-" 33616705 33613606 "clu_1051" "clu_1075" "chr21:33613606:33616705:-" 53 446 499 0.200417995820042 -0.419418132457629 574 63 "-" "clu_1051" "clu_1075" 33613606 33616705 0 0 0 0 "annotated" "CRYZL1" "ENSG00000154723.12" "ENST00000361534.6+ENST00000381540.7+ENST00000381554.8" 0.75 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 5 5 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" "non_canonical_U12|basic|MANE_Select|appris_principal_1|CCDS" 5 5 "main" "main" 0 0 84.1269841269841 77.7003484320557 -6.42663569492838
