chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,36386262,36387597,+,36386262,36387597,clu_1250,clu_1294,chr21:36386262:36387597:+,13,103,116
chr21,34103519,34125340,+,34103519,34125340,clu_1137,clu_1168,chr21:34103519:34125340:+,7,79,86
chr21,34103519,34142407,+,34103519,34142407,clu_1137,clu_1171,chr21:34103519:34142407:+,2,14,16
chr21,36415389,36416274,+,36415389,36416274,clu_1273,clu_1316,chr21:36415389:36416274:+,18,140,158
chr21,36411604,36415294,+,36411604,36415294,clu_1269,clu_1312,chr21:36411604:36415294:+,1,7,8
chr21,36320303,36329907,+,36320303,36329907,clu_1218,clu_1256,chr21:36320303:36329907:+,1,6,7
chr21,36337946,36338778,+,36337946,36338778,clu_1231,clu_1267,chr21:36337946:36338778:+,0,7,7
chr21,36071057,36072173,+,36071057,36072173,clu_1214,clu_1248,chr21:36071057:36072173:+,1,9,10
chr21,36411604,36412883,+,36411604,36412883,clu_1269,clu_1309,chr21:36411604:36412883:+,14,109,123
chr21,36345031,36356619,+,36345031,36356619,clu_1238,clu_1279,chr21:36345031:36356619:+,1,6,7
chr21,36415389,36415779,+,36415389,36415779,clu_1273,clu_1315,chr21:36415389:36415779:+,0,5,5
chr21,34102912,34103496,+,34102912,34103496,clu_1131,clu_1160,chr21:34102912:34103496:+,0,7,7
chr21,34102912,34125340,+,34102912,34125340,clu_1131,clu_1168,chr21:34102912:34125340:+,1,6,7
chr21,36345031,36349310,+,36345031,36349310,clu_1238,clu_1276,chr21:36345031:36349310:+,26,315,341
chr21,36071057,36072445,+,36071057,36072445,clu_1214,clu_1249,chr21:36071057:36072445:+,128,1206,1334
chr21,36337006,36337731,+,36337006,36337731,clu_1228,clu_1264,chr21:36337006:36337731:+,34,375,409
chr21,36320303,36333645,+,36320303,36333645,clu_1218,clu_1261,chr21:36320303:36333645:+,30,332,362
chr21,36386262,36391550,+,36386262,36391550,clu_1250,clu_1296,chr21:36386262:36391550:+,0,5,5
chr21,36337946,36338773,+,36337946,36338773,clu_1231,clu_1266,chr21:36337946:36338773:+,32,362,394
chr21,36337006,36341398,+,36337006,36341398,clu_1228,clu_1269,chr21:36337006:36341398:+,1,11,12
chr21,36320303,36336873,+,36320303,36336873,clu_1218,clu_1262,chr21:36320303:36336873:+,0,7,7
chr21,36041888,36043781,-,36043781,36041888,clu_1193,clu_1224,chr21:36041888:36043781:-,1,6,7
chr21,37069624,37072433,-,37072433,37069624,clu_1301,clu_1346,chr21:37069624:37072433:-,97,738,835
chr21,36045764,36053582,-,36053582,36045764,clu_1197,clu_1231,chr21:36045764:36053582:-,2,11,13
chr21,37065712,37069551,-,37069551,37065712,clu_1299,clu_1341,chr21:37065712:37069551:-,2,18,20
chr21,36058911,36060346,-,36060346,36058911,clu_1205,clu_1239,chr21:36058911:36060346:-,1,9,10
chr21,37065712,37072433,-,37072433,37065712,clu_1301,clu_1341,chr21:37065712:37072433:-,0,5,5
chr21,36043651,36043781,-,36043781,36043651,clu_1193,clu_1225,chr21:36043651:36043781:-,0,5,5
chr21,36046011,36048307,-,36048307,36046011,clu_1196,clu_1232,chr21:36046011:36048307:-,19,220,239
chr21,36057204,36058815,-,36058815,36057204,clu_1200,clu_1237,chr21:36057204:36058815:-,22,238,260
chr21,36058924,36060346,-,36060346,36058924,clu_1205,clu_1240,chr21:36058924:36060346:-,13,146,159
chr21,36043956,36045581,-,36045581,36043956,clu_1195,clu_1226,chr21:36043956:36045581:-,14,205,219
chr21,36043956,36048307,-,36048307,36043956,clu_1196,clu_1226,chr21:36043956:36048307:-,1,5,6
chr21,37067380,37072433,-,37072433,37067380,clu_1301,clu_1345,chr21:37067380:37072433:-,0,16,16
chr21,36057477,36058815,-,36058815,36057477,clu_1200,clu_1238,chr21:36057477:36058815:-,1,17,18
chr21,36048396,36053582,-,36053582,36048396,clu_1197,clu_1234,chr21:36048396:36053582:-,20,239,259
chr21,36058973,36060281,-,36060281,36058973,clu_1203,clu_1242,chr21:36058973:36060281:-,0,5,5
chr21,36045764,36048307,-,36048307,36045764,clu_1196,clu_1231,chr21:36045764:36048307:-,0,15,15
chr21,36046011,36053582,-,36053582,36046011,clu_1197,clu_1232,chr21:36046011:36053582:-,0,8,8
chr21,37072310,37072433,-,37072433,37072310,clu_1301,clu_1347,chr21:37072310:37072433:-,7,81,88
chr21,37067380,37069551,-,37069551,37067380,clu_1299,clu_1345,chr21:37067380:37069551:-,102,803,905
chr21,36058924,36060281,-,36060281,36058924,clu_1203,clu_1240,chr21:36058924:36060281:-,2,6,8
chr21,36043969,36045581,-,36045581,36043969,clu_1195,clu_1227,chr21:36043969:36045581:-,7,50,57
chr21,36058973,36060346,-,36060346,36058973,clu_1205,clu_1242,chr21:36058973:36060346:-,6,72,78
