"E.B.M_five.obs.logOR.ratio" "E.B.M_obs.wt" "E.B.M_obs.mut" "E.B.M_total.reads.per.junction" "E.B.M_five.wt.cluster.cov" "E.B.M_five.mut.cluster.cov" "intron_junction" "Tcells_five.obs.logOR.ratio" "Tcells_obs.wt" "Tcells_obs.mut" "Tcells_total.reads.per.junction" "Tcells_five.wt.cluster.cov" "Tcells_five.mut.cluster.cov" "PreB_five.obs.logOR.ratio" "PreB_obs.wt" "PreB_obs.mut" "PreB_total.reads.per.junction" "PreB_five.wt.cluster.cov" "PreB_five.mut.cluster.cov" "DC_five.obs.logOR.ratio" "DC_obs.wt" "DC_obs.mut" "DC_total.reads.per.junction" "DC_five.wt.cluster.cov" "DC_five.mut.cluster.cov" "HSPC_five.obs.logOR.ratio" "HSPC_obs.wt" "HSPC_obs.mut" "HSPC_total.reads.per.junction" "HSPC_five.wt.cluster.cov" "HSPC_five.mut.cluster.cov" "IMP_five.obs.logOR.ratio" "IMP_obs.wt" "IMP_obs.mut" "IMP_total.reads.per.junction" "IMP_five.wt.cluster.cov" "IMP_five.mut.cluster.cov" "Bcells_five.obs.logOR.ratio" "Bcells_obs.wt" "Bcells_obs.mut" "Bcells_total.reads.per.junction" "Bcells_five.wt.cluster.cov" "Bcells_five.mut.cluster.cov" "NP_five.obs.logOR.ratio" "NP_obs.wt" "NP_obs.mut" "NP_total.reads.per.junction" "NP_five.wt.cluster.cov" "NP_five.mut.cluster.cov" "Mat_Mono_five.obs.logOR.ratio" "Mat_Mono_obs.wt" "Mat_Mono_obs.mut" "Mat_Mono_total.reads.per.junction" "Mat_Mono_five.wt.cluster.cov" "Mat_Mono_five.mut.cluster.cov" "MonoDC_five.obs.logOR.ratio" "MonoDC_obs.wt" "MonoDC_obs.mut" "MonoDC_total.reads.per.junction" "MonoDC_five.wt.cluster.cov" "MonoDC_five.mut.cluster.cov" "MkP_five.obs.logOR.ratio" "MkP_obs.wt" "MkP_obs.mut" "MkP_total.reads.per.junction" "MkP_five.wt.cluster.cov" "MkP_five.mut.cluster.cov" "MEP_five.obs.logOR.ratio" "MEP_obs.wt" "MEP_obs.mut" "MEP_total.reads.per.junction" "MEP_five.wt.cluster.cov" "MEP_five.mut.cluster.cov" "EP_five.obs.logOR.ratio" "EP_obs.wt" "EP_obs.mut" "EP_total.reads.per.junction" "EP_five.wt.cluster.cov" "EP_five.mut.cluster.cov" "None_five.obs.logOR.ratio" "None_obs.wt" "None_obs.mut" "None_total.reads.per.junction" "None_five.wt.cluster.cov" "None_five.mut.cluster.cov" "chr.x" "start.x" "end.x" "strand.x" "five_prime.x" "three_prime.x" "five_prime_ID" "three_prime_ID" "obs.wt" "obs.mut" "total.reads.per.junction" "None_pvalue" "EP_pvalue" "MEP_pvalue" "MkP_pvalue" "MonoDC_pvalue" "Mat_Mono_pvalue" "NP_pvalue" "Bcells_pvalue" "IMP_pvalue" "HSPC_pvalue" "DC_pvalue" "PreB_pvalue" "Tcells_pvalue" "E.B.M_pvalue" "chr.y" "start.y" "end.y" "strand_1" "five_prime.y" "three_prime.y" "clusterID_5p" "clusterID_3p" "start_match" "end_match" "start_diff" "end_diff" "fivep_diff" "threep_diff" "strand.y" "verdict" "gene" "ensemblID" "transcripts" "constitutive.score" "numTags" "tags" "relStart" "relEnd" "relStartTag" "relEndTag" "relStartTagClass" "relEndTagClass" "relStartTagAlt" "relEndTagAlt" "startClass" "endClass" "startDistance" "endDistance" "numTags_skipping" "tags_skipping" "curTag_skipping" "relStartExon_skipping" "relEndExon_skipping" "fivep_class" "threep_class" "fivep_distance" "threep_distance" "None_wt.psi" "None_mut.psi" "None_dPSI" "EP_wt.psi" "EP_mut.psi" "EP_dPSI" "MEP_wt.psi" "MEP_mut.psi" "MEP_dPSI" "MkP_wt.psi" "MkP_mut.psi" "MkP_dPSI" "MonoDC_wt.psi" "MonoDC_mut.psi" "MonoDC_dPSI" "Mat_Mono_wt.psi" "Mat_Mono_mut.psi" "Mat_Mono_dPSI" "NP_wt.psi" "NP_mut.psi" "NP_dPSI" "Bcells_wt.psi" "Bcells_mut.psi" "Bcells_dPSI" "IMP_wt.psi" "IMP_mut.psi" "IMP_dPSI" "HSPC_wt.psi" "HSPC_mut.psi" "HSPC_dPSI" "DC_wt.psi" "DC_mut.psi" "DC_dPSI" "PreB_wt.psi" "PreB_mut.psi" "PreB_dPSI" "Tcells_wt.psi" "Tcells_mut.psi" "Tcells_dPSI" "merge.output_Verdict" "Final_Verdict"
"1" NA 0 0 0 0 0 "chr21:33572630:33573307:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 1 0 Inf 0 1 1 1 3 NA 0 0 0 0 0 NA 0 0 0 0 6 NA 0 0 0 3 5 NA 0 0 0 0 2 NA 0 0 0 0 7 Inf 0 1 1 1 20 Inf 0 2 2 6 87 NA 0 2 2 0 18 "chr21" 33572630 33573307 "+" 33572630 33573307 "clu_991" "clu_1024" 0 6 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33572630 33573307 "+" 33572630 33573307 "clu_991" "clu_1024" 33573455 33573307 -825 0 -825 0 "+" "cryptic_fiveprime" "SON" "ENSG00000156256.15" "." NA 1 "basic|appris_principal_1|CCDS" 9 8 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" -825 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 9 8 "not_main_5_prime" "main" -825 0 NA 11.1111111111111 NA 0 2.29885057471264 2.29885057471264 0 5 5 NA 0 NA NA 0 NA 0 0 0 NA 0 NA NA NA NA 0 33.3333333333333 33.3333333333333 0 NA NA NA 0 NA NA NA NA NA NA NA NA NA
"2" NA 0 0 0 0 1 "chr21:33569087:33573307:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 4 -Inf 0 0 0 4 8 NA 0 0 0 0 0 NA 0 0 0 2 4 NA 0 0 0 5 22 NA 0 0 0 2 6 NA 2 0 2 3 18 -Inf 1 2 3 9 53 -Inf 0 6 6 14 201 NA 0 1 1 1 25 "chr21" 33569087 33573307 "+" 33569087 33573307 "clu_989" "clu_1024" 12 143 155 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33569087 33573307 "+" 33569087 33573307 "clu_989" "clu_1024" 33569087 33573307 0 0 0 0 "+" "annotated" "SON" "ENSG00000237945.7" "ENST00000356577.9+ENST00000381692.6" 1 1 "basic|appris_principal_1|CCDS" 8 8 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 8 8 "main" "main" 0 0 0 4 4 0 2.98507462686567 2.98507462686567 11.1111111111111 3.77358490566038 -7.33752620545073 66.6666666666667 0 -66.6666666666667 0 0 0 0 0 0 0 0 0 NA NA NA 0 0 0 NA 0 NA NA 0 NA NA NA NA NA NA NA NA "Canonical"
"3" NA 0 0 0 0 0 "chr21:33548672:33549475:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 1 NA 1 0 1 1 0 NA 1 2 3 1 3 NA 0 0 0 0 0 NA 0 6 6 0 6 NA 3 5 8 3 5 NA 0 2 2 0 2 -Inf 0 7 7 0 7 -1.15923691048454 1 19 20 1 20 Inf 6 85 91 6 87 Inf 0 16 16 0 18 "chr21" 33548672 33549475 "+" 33548672 33549475 "clu_972" "clu_1002" 3 9 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33548672 33549475 "+" 33548672 33549475 "clu_972" "clu_1002" 33546379 33549475 2293 0 2293 0 "+" "cryptic_fiveprime" "SON" "ENSG00000277117.4" "." NA 1 "basic|appris_principal_1|CCDS" 2 2 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" 2293 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 2 2 "not_main_5_prime" "main" 2293 0 NA 88.8888888888889 NA 100 97.7011494252874 -2.29885057471265 100 95 -5 NA 100 NA NA 100 NA 100 100 0 NA 100 NA NA NA NA 100 66.6666666666667 -33.3333333333333 100 NA NA NA 100 NA NA NA NA NA NA NA NA NA
"4" NA 0 0 0 0 0 "chr21:33546379:33549475:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 5 5 0 5 NA 0 0 0 1 0 NA 1 5 6 1 5 NA 1 0 1 1 0 NA 0 1 1 0 1 NA 1 5 6 1 6 NA 0 2 2 0 3 Inf 0 9 9 0 9 1.15923691048454 6 38 44 6 41 -Inf 14 108 122 14 119 -Inf 0 17 17 0 18 "chr21" 33546379 33549475 "+" 33546379 33549475 "clu_970" "clu_1002" 37 334 371 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 33546379 33549475 "+" 33546379 33549475 "clu_970" "clu_1002" 33546379 33549475 0 0 0 0 "+" "annotated" "SON" "ENSG00000159140.20" "ENST00000300278.8+ENST00000356577.9+ENST00000381679.8" 0.75 1 "basic|appris_principal_1|CCDS" 2 2 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "main" 0 0 1 "basic|appris_principal_1|CCDS" "basic|appris_principal_1|CCDS" 2 2 "main" "main" 0 0 NA 94.4444444444444 NA 100 90.7563025210084 -9.24369747899159 100 92.6829268292683 -7.3170731707317 NA 100 NA NA 66.6666666666667 NA 100 83.3333333333333 -16.6666666666667 NA 100 NA 100 NA NA 100 100 0 0 NA NA NA 100 NA NA NA NA NA NA NA NA "Canonical"
"5" NA 0 1 1 0 1 "chr21:34073745:34102834:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 1 NA 0 4 4 0 4 NA 4 8 12 4 8 NA 0 0 0 0 0 NA 2 4 6 2 4 -Inf 5 22 27 5 22 NA 2 6 8 2 6 NA 1 18 19 3 18 -Inf 8 51 59 9 53 -Inf 14 195 209 14 201 NA 1 24 25 1 25 "chr21" 34073745 34102834 "+" 34073745 34102834 "clu_1122" "clu_1159" 23 190 213 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 34073745 34102834 "+" 34073745 34102834 "clu_1122" "clu_1159" 34073745 34094862 0 7972 0 7972 "+" "cryptic_threeprime" "MRPS6" "ENSG00000142166.13" "." 0 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -22506 100 96 -4 100 97.0149253731343 -2.98507462686567 88.8888888888889 96.2264150943396 7.33752620545074 33.3333333333333 100 66.6666666666667 100 100 0 100 100 0 100 100 0 NA NA NA 100 100 0 NA 100 NA NA 100 NA NA NA NA NA NA NA NA NA
"6" NA 0 0 0 0 0 "chr21:34073268:34102834:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 1 NA 0 0 0 0 0 NA 0 0 0 0 0 Inf 1 1 2 2 2 NA 0 0 0 0 0 NA 0 1 1 0 2 Inf 0 1 1 0 1 Inf 0 14 14 0 16 NA 0 1 1 0 1 "chr21" 34073268 34102834 "+" 34073268 34102834 "clu_1118" "clu_1159" 1 17 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 34073268 34102834 "+" 34073268 34102834 "clu_1118" "clu_1159" 34073745 34094862 -477 7972 -477 7972 "+" "cryptic_unanchored" "MRPS6" "ENSG00000155313.15" "" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "not_main_3_prime" -477 -22506 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "not_main_3_prime" -477 -22506 NA 100 NA NA 87.5 NA NA 100 NA NA 50 NA NA NA NA 50 50 0 NA NA NA NA NA NA NA 100 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" NA 0 0 0 0 0 "chr21:15808885:15811136:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 0 NA 0 0 0 0 0 0 1 1 2 2 2 NA 0 0 0 0 0 NA 0 1 1 0 2 NA 0 0 0 0 1 NA 0 2 2 0 16 NA 0 0 0 0 1 "chr21" 15808885 15811136 "+" 15808885 15811136 "clu_108" "clu_111" 1 19 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 15808885 15811136 "+" 15808885 15811136 "clu_108" "clu_111" 15808885 15811136 0 0 0 0 "+" "annotated" "USP25" "ENSG00000198743.7" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 8 8 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 8 8 "main" "main" 0 0 NA 0 NA NA 12.5 NA NA 0 NA NA 50 NA NA NA NA 50 50 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Canonical"
"8" NA 0 0 0 0 0 "chr21:15805258:15811136:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 5 NA 1 0 1 1 0 NA 0 0 0 1 5 NA 0 0 0 1 0 NA 0 0 0 0 1 0 0 1 1 1 6 NA 0 1 1 0 3 NA 0 0 0 0 9 NA 0 3 3 6 41 NA 0 11 11 14 119 NA 0 1 1 0 18 "chr21" 15805258 15811136 "+" 15805258 15811136 "clu_107" "clu_111" 1 4 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 15805258 15811136 "+" 15805258 15811136 "clu_107" "clu_111" 15805258 15811136 0 0 0 0 "+" "novel annotated pair" "USP25" "ENSG00000160190.14" "ENST00000285679.10+ENST00000285681.6+ENST00000400183.6" 1 1 "basic|appris_principal_3|CCDS" 7 8 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" "appris_principal_3" "appris_principal_3" "" "" "main" "main" 0 0 1 "basic|appris_principal_3|CCDS" "basic|appris_principal_3|CCDS" 7 8 "main" "main" 0 0 NA 5.55555555555556 NA 0 9.2436974789916 9.2436974789916 0 7.31707317073171 7.31707317073171 NA 0 NA NA 33.3333333333333 NA 0 16.6666666666667 16.6666666666667 NA 0 NA 0 NA NA 0 0 0 100 NA NA NA 0 NA NA NA NA NA NA NA NA "Canonical"
"9" NA 0 0 0 0 0 "chr21:34073745:34094862:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 1 1 0 1 NA 0 4 4 0 4 NA 0 0 0 0 0 NA 0 1 1 0 1 NA 0 5 5 0 5 NA 0 4 4 0 4 NA 0 5 5 0 5 -Inf 1 22 23 1 25 1.7730673362159 3 53 56 4 56 NA 0 7 7 0 8 "chr21" 34073745 34094862 "+" 34073745 34094862 "clu_1122" "clu_1155" 4 102 106 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 34073745 34094862 "+" 34073745 34094862 "clu_1122" "clu_1155" 34073745 34094862 0 0 0 0 "+" "annotated" "MRPS6" "ENSG00000224905.7" "ENST00000381151.5" 0.33 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "main" "not_main_3_prime" 0 -30478 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "main" "not_main_3_prime" 0 -30478 NA 87.5 NA 75 94.6428571428571 19.6428571428571 100 88 -12 NA 100 NA NA 100 NA NA 100 NA NA 100 NA NA NA NA NA 100 NA NA 100 NA NA NA NA NA NA NA NA NA NA NA NA
"10" NA 0 0 0 0 0 "chr21:34094179:34094862:+" NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 4 NA 0 0 0 0 0 NA 0 0 0 0 1 NA 0 0 0 0 5 NA 0 0 0 0 4 NA 0 0 0 0 5 Inf 0 3 3 1 25 -1.7730673362159 1 3 4 4 56 NA 0 1 1 0 8 "chr21" 34094179 34094862 "+" 34094179 34094862 "clu_1125" "clu_1155" 1 7 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA "chr21" 34094179 34094862 "+" 34094179 34094862 "clu_1125" "clu_1155" 34073745 34094862 20434 0 20434 0 "+" "cryptic_fiveprime" "SLC5A3" "ENSG00000154719.13" "." NA 1 "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" "appris_principal_1" "appris_principal_1" "" "" "not_main_5_prime" "main" 20434 0 1 "basic|MANE_Select|appris_principal_1|CCDS" "basic|MANE_Select|appris_principal_1|CCDS" 1 1 "not_main_5_prime" "main" 20434 0 NA 12.5 NA 25 5.35714285714286 -19.6428571428571 0 12 12 NA 0 NA NA 0 NA NA 0 NA NA 0 NA NA NA NA NA 0 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA
